Numéro de boucle;Libellé;Jour;Total
725;Pont Tabarly vers Sud;2022-05-02;570
669;De Gaulle sortie Clémenceau vers Nord;2022-05-02;945
675;Pont Haudaudine vers Nord;2022-05-02;890
727;Pont Tabarly vers Nord;2022-05-02;559
786;50 Otages Vers Nord;2022-05-02;3190
945;Magellan vers Ouest;2022-05-02;851
986;Tremie vers Ouest;2022-05-02;354
8672;;2022-05-02;751
8673;;2022-05-02;553
9999;;2022-05-02;393
787;50 Otages Vers Sud;2022-05-02;2002
890;Pont de Pirmil vers Sud;2022-05-02;2971
989;Kennedy vers Ouest;2022-05-02;1320
1055;;2022-05-02;0
666;Pont Audibert vers Sud;2022-05-02;237
742;Philippot vers Est;2022-05-02;1596
744;Calvaire vers Est;2022-05-02;714
668;De Gaulle vers sud;2022-05-02;1011
676;Pont Willy Brandt vers Beaulieu;2022-05-02;783
679;Bd Malakoff vers Gare Sud;2022-05-02;107
745;Calvaire vers Ouest;2022-05-02;145
847;Entrée pont Audibert vers Sud;2022-05-02;2639
950;avenue de la Libération vers Nord;2022-05-02;621
959;Sorinières Vers Sud;2022-05-02;100
980;Pont Tabarly vers Sud;2022-05-02;62
1056;;2022-05-02;0
665;Bonduelle vers Nord;2022-05-02;1088
673;Pont de Pornic vers Sud;2022-05-02;838
681;Stalingrad vers est;2022-05-02;622
785;50 Otages Vers Sud;2022-05-02;3160
788;50 Otages Vers Nord;2022-05-02;1957
946;Magellan vers Est;2022-05-02;1018
949;avenue de la Libération vers Sud;2022-05-02;241
960;Sorinières Vers Nord;2022-05-02;79
9672;;2022-05-02;1021
9998;;2022-05-02;726
674;Pont Haudaudine vers Sud;2022-05-02;837
680;Stalingrad vers ouest;2022-05-02;639
747;Chemin de halage Tortière vers Nord;2022-05-02;0
943;Magellan vers Ouest;2022-05-02;266
981;Pont Tabarly vers Nord;2022-05-02;149
988;Kennedy vers Est;2022-05-02;919
995;Ceineray vers Ouest;2022-05-02;1102
996;Van Iseghem vers Nord;2022-05-02;1043
1054;;2022-05-02;0
672;Pont de Pornic vers Nord;2022-05-02;930
746;Chemin de halage Tortière vers Sud;2022-05-02;0
977;3 Continents vers Nord;2022-05-02;650
979;3 Continents vers Sud;2022-05-02;563
664;Bonduelle vers sud;2022-05-02;1266
675;Pont Haudaudine vers Nord;2022-05-01;500
743;Philippot vers ouest;2022-05-01;757
745;Calvaire vers Ouest;2022-05-01;43
890;Pont de Pirmil vers Sud;2022-05-01;2316
943;Magellan vers Ouest;2022-05-01;214
980;Pont Tabarly vers Sud;2022-05-01;58
1054;;2022-05-01;0
747;Chemin de halage Tortière vers Nord;2022-05-01;0
847;Entrée pont Audibert vers Sud;2022-05-01;1648
986;Tremie vers Ouest;2022-05-01;109
988;Kennedy vers Est;2022-05-01;460
9673;;2022-05-01;539
669;De Gaulle sortie Clémenceau vers Nord;2022-05-01;391
673;Pont de Pornic vers Sud;2022-05-01;400
681;Stalingrad vers est;2022-05-01;496
682;pont Anne de Bretagne vers Sud;2022-05-01;976
